"","year","month","all","ep","epu","ep_count","epu_count"
"384","2016",9,1260810,79.7849127979075,90.7534634126006,809,49
"383","2016",10,1263148,87.512364862865,90.5854849987815,889,49
"382","2016",11,1229990,107.56276192165,178.46088636348,1064,94
"375","2016",12,1198315,147.657598993988,399.48422835695,1423,205
"389","2017",1,1226859,142.499245658815,203.660073971888,1406,107
"388","2017",2,1191615,119.583305515419,186.167735649755,1146,95
"392","2017",3,1343080,169.052185239775,255.583154105282,1826,147
"385","2017",4,1251385,116.95193608781,147.418816069575,1177,79
"393","2017",5,1216243,112.45900307109,117.118702908904,1100,61
"391","2017",6,1110553,121.929975894414,86.2107334100324,1089,41
"390","2017",7,1048550,103.288247373714,122.487090166075,871,55
"386","2017",8,1169979,87.785720609927,75.8441873969647,826,38
"396","2017",9,1209330,72.7964714441516,71.4453009752898,708,37
"395","2017",10,1269505,96.1831441942059,134.278109151857,982,73
"394","2017",11,1250433,103.417684683538,125.121271407929,1040,67
"387","2017",12,1168816,84.043250500764,77.9175398219904,790,39
"401","2018",1,1239631,147.14976855965,226.050561633209,1467,120
"400","2018",2,1132802,116.791038094928,107.192921887002,1064,52
"404","2018",3,1255330,104.599090487205,167.417701182918,1056,90
"397","2018",4,1215727,137.974168499541,140.217936229785,1349,73
"405","2018",5,1274801,92.5647675300691,197.832724786961,949,108
"403","2018",6,1160696,104.664155535621,116.688022090053,977,58
"402","2018",7,1044437,125.124502928,268.296971256224,1051,120
"398","2018",8,1151162,163.319200007987,275.879376609891,1512,136
"408","2018",9,1145187,112.379174680815,163.128690637679,1035,80
"407","2018",10,1229677,149.048747650591,212.6883711604,1474,112
"406","2018",11,1189072,138.76651072601,245.481423545645,1327,125
"399","2018",12,1140652,215.840988741478,354.168318440192,1980,173
"413","2019",1,1212379,156.405973702112,398.702274206078,1525,207
"412","2019",2,1126379,149.029114629073,230.120445680665,1350,111
"416","2019",3,1237567,183.565780366781,339.641349237581,1827,180
"409","2019",4,1197891,131.516793165402,154.002071262932,1267,79
"417","2019",5,1245573,120.09317854838,157.480531962041,1203,84
"415","2019",6,1104026,194.957373118653,319.384928804201,1731,151
"414","2019",7,1103463,168.125250899058,435.939495752576,1492,206
"410","2019",8,1163959,206.925415447103,792.457875007733,1937,395
"420","2019",9,1166354,210.978066976755,608.639274364478,1979,304
"419","2019",10,1260960,118.62772862267,214.819376487496,1203,116
"418","2019",11,1150155,124.002072556389,170.545273148016,1147,84
"411","2019",12,1101549,133.198730169298,201.389376520049,1180,95
"425","2020",1,1151639,130.212549385751,253.460578582583,1206,125
"424","2020",2,1093390,187.869743848914,305.406103790466,1652,143
"428","2020",3,1165889,114.009856283662,376.545461220094,1069,188
"421","2020",4,1063730,181.652552444516,500.518589453226,1554,228
"429","2020",5,1117965,98.543370475626,288.24889538861,886,138
"427","2020",6,1027155,99.0237153484868,368.29498282802,818,162
"426","2020",7,1038182,128.513314592293,281.159842164734,1073,125
"422","2020",8,1029222,137.001679608185,254.112327742127,1134,112
"432","2020",9,1038668,132.164318058845,339.482168900926,1104,151
"431","2020",10,1101025,143.42618229351,296.925589999555,1270,140
"430","2020",11,1015320,144.266085274183,278.291025948472,1178,121
"423","2020",12,1020313,166.471225649574,192.248357746648,1366,84
"437","2021",1,1015861,170.628032888031,289.636326186687,1394,126
"436","2021",2,954139,184.532771035574,166.423264816235,1416,68
"440","2021",3,1044774,184.948390380891,158.691171069242,1554,71
"433","2021",4,997698,192.428809137055,177.881696718874,1544,76
"441","2021",5,993175,164.384492371698,190.447822934888,1313,81
"439","2021",6,939112,138.495668959528,303.360627022197,1046,122
"438","2021",7,933079,108.208035313993,285.300944056763,812,114
"434","2021",8,955308,122.610986296285,171.108426669336,942,70
"444","2021",9,987650,102.480971701941,163.140878009987,814,69
"443","2021",10,1019208,177.753690273216,144.342591481,1457,63
"442","2021",11,944418,168.262948857835,314.0192252312,1278,127
"435","2021",12,943198,130.249471930915,378.795954618351,988,153
"449","2022",1,940745,139.709187314992,337.58548271529,1057,136
"448","2022",2,898622,173.655513630466,252.064369348197,1255,97
"452","2022",3,1003461,254.148212838334,644.6085232653,2051,277
"445","2022",4,932807,231.542074374146,673.406425744867,1737,269
"453","2022",5,948708,134.080298683196,327.367717825502,1023,133
"451","2022",6,916290,147.373289069459,254.849523411381,1086,100
"450","2022",7,890392,364.206955536923,731.711240397997,2608,279
"446","2022",8,929289,261.454222902829,680.981426849908,1954,271
